                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.213,                 4.9763,                 1.5724,                  0.625,                0.83333,                0.68307,                 0.4393,                 1.2958,                 6.8039,                 1.1983,                0.00024,                0.00024,                0.00024
                      2,                 1.0571,                  1.296,                 1.0006,                0.01418,                      1,                0.01553,                0.01185,                0.89343,                 151.66,                  1.036,              0.0004901,              0.0004901,              0.0004901
                      3,                 1.0185,                0.74314,                0.99047,                0.73163,                0.95833,                 0.7841,                0.61093,                0.92538,                 1.5257,                 1.0597,              0.0007299,              0.0007299,              0.0007299
                      4,                 1.0328,                0.65596,                 1.0156,                0.03372,                  0.875,                0.03502,                 0.0257,                 1.0373,                 38.059,                 1.1126,             0.00095941,             0.00095941,             0.00095941
                      5,                0.98562,                0.59255,                 1.0158,                0.95187,                      1,                  0.995,                0.75096,                0.95843,                  1.007,                 1.1373,              0.0011786,              0.0011786,              0.0011786
                      6,                 1.0277,                0.60077,                 1.0231,                0.23987,                0.71005,                 0.2338,                 0.1633,                 1.2647,                 5.1975,                 1.2352,              0.0013875,              0.0013875,              0.0013875
                      7,                0.94274,                0.59158,                0.98719,                0.48443,                  0.375,                0.24616,                0.18086,                 1.4788,                 3.4405,                 1.2475,              0.0015862,              0.0015862,              0.0015862
                      8,                 1.0041,                0.60071,                0.97586,                0.01177,                0.20833,                0.00392,                0.00295,                  1.944,                 59.998,                 1.9227,              0.0017228,              0.0017228,              0.0017228
                      9,                0.91203,                0.53378,                0.96497,                0.00015,                0.04167,                  7e-05,                  7e-05,                  2.165,                    nan,                 5.0909,              0.0017228,              0.0017228,              0.0017228
                     10,                0.94164,                0.58153,                0.99539,                0.00567,                0.20833,                0.00274,                  0.002,                 1.2195,                    nan,                 1.3199,              0.0016832,              0.0016832,              0.0016832
                     11,                0.99848,                0.53188,                0.98756,                0.00044,                  0.125,                0.00025,                 0.0002,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.0131,                 0.5377,                 1.0298,                0.01308,                  0.125,                0.00414,                0.00272,                 1.6191,                    nan,                 2.4323,               0.001604,               0.001604,               0.001604
                     13,                0.96966,                0.52654,                 1.0082,                0.58969,                0.08333,                0.07261,                0.05538,                 1.0412,                 1.1584,                 1.0782,              0.0015644,              0.0015644,              0.0015644
                     14,                0.89736,                0.48566,                 0.9314,                0.85642,                0.33333,                0.34445,                0.25825,                 1.2291,                 1.1378,                 1.2542,              0.0015248,              0.0015248,              0.0015248
                     15,                0.91271,                0.51694,                0.96681,                0.94876,                    0.5,                0.53905,                0.38996,                 1.0577,                 1.1575,                 1.1254,              0.0014852,              0.0014852,              0.0014852
                     16,                0.92204,                0.50616,                0.95511,                      1,                 0.9553,                 0.9881,                0.74418,                0.93523,                0.49903,                 1.0224,              0.0014456,              0.0014456,              0.0014456
                     17,                0.90921,                0.49241,                0.96697,                      1,                0.95704,                0.95909,                0.76917,                0.80604,                 0.4612,                0.97996,               0.001406,               0.001406,               0.001406
                     18,                0.92985,                 0.4773,                0.96181,                0.99568,                0.95833,                0.98929,                0.78366,                0.78196,                0.44894,                0.95805,              0.0013664,              0.0013664,              0.0013664
                     19,                0.87164,                0.45523,                0.95424,                0.99574,                      1,                  0.995,                0.73994,                0.94021,                0.46541,                  1.075,              0.0013268,              0.0013268,              0.0013268
                     20,                0.85398,                0.44292,                0.93171,                0.99734,                      1,                  0.995,                0.77602,                0.81917,                 0.4195,                0.98346,              0.0012872,              0.0012872,              0.0012872
                     21,                0.84571,                0.43605,                   0.92,                0.99524,                      1,                  0.995,                0.81556,                 0.8121,                0.44272,                 0.9964,              0.0012476,              0.0012476,              0.0012476
                     22,                0.84999,                 0.4537,                0.95141,                 0.9967,                      1,                  0.995,                0.82837,                0.77004,                0.39456,                0.95881,               0.001208,               0.001208,               0.001208
                     23,                0.84457,                0.46422,                0.96265,                0.99745,                      1,                  0.995,                0.79183,                0.82984,                0.41622,                0.98141,              0.0011684,              0.0011684,              0.0011684
                     24,                0.84999,                0.44502,                0.94614,                0.99759,                      1,                  0.995,                0.80177,                0.75838,                0.37393,                0.94586,              0.0011288,              0.0011288,              0.0011288
                     25,                0.83068,                0.44565,                0.93388,                0.99644,                      1,                  0.995,                0.80725,                0.78906,                0.38713,                0.96366,              0.0010892,              0.0010892,              0.0010892
                     26,                0.85413,                0.44457,                0.96036,                0.99365,                      1,                  0.995,                0.78053,                0.88705,                0.41979,                 1.0456,              0.0010496,              0.0010496,              0.0010496
                     27,                0.86131,                0.47189,                0.93207,                0.99732,                      1,                  0.995,                0.79977,                0.83468,                 0.4056,                 1.0132,                0.00101,                0.00101,                0.00101
                     28,                0.83916,                0.43636,                0.92233,                0.99749,                      1,                  0.995,                0.78926,                0.84047,                0.37609,                 1.0584,              0.0009704,              0.0009704,              0.0009704
                     29,                0.83128,                0.44819,                0.95446,                 0.9975,                      1,                  0.995,                0.82618,                 0.7227,                0.36847,                0.95164,              0.0009308,              0.0009308,              0.0009308
                     30,                0.84625,                0.42227,                0.95356,                0.99746,                      1,                  0.995,                0.81318,                0.76078,                0.33793,                0.96691,              0.0008912,              0.0008912,              0.0008912
                     31,                0.79523,                0.40945,                0.95271,                0.99752,                      1,                  0.995,                0.81302,                0.74421,                0.33739,                0.96355,              0.0008516,              0.0008516,              0.0008516
                     32,                0.82344,                  0.419,                0.95259,                0.99611,                      1,                  0.995,                0.79466,                0.77576,                 0.3756,                0.95025,               0.000812,               0.000812,               0.000812
                     33,                0.82184,                0.41648,                0.91796,                0.99721,                      1,                  0.995,                0.78716,                0.83945,                0.41369,                  1.046,              0.0007724,              0.0007724,              0.0007724
                     34,                0.81791,                0.39504,                0.94757,                0.99735,                      1,                  0.995,                0.80615,                0.76462,                0.34829,                0.97206,              0.0007328,              0.0007328,              0.0007328
                     35,                0.79284,                0.39795,                0.93316,                0.99698,                      1,                  0.995,                0.81218,                0.74887,                0.32575,                0.96038,              0.0006932,              0.0006932,              0.0006932
                     36,                0.79233,                0.39136,                0.92156,                0.99658,                      1,                  0.995,                 0.8063,                0.85346,                0.35563,                 1.0146,              0.0006536,              0.0006536,              0.0006536
