                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.705,                 5.3061,                 1.9086,                0.00775,                0.13043,                0.01167,                0.00554,                 1.5584,                 4.0066,                 1.2564,                0.00022,                0.00022,                0.00022
                      2,                 1.2521,                 1.3964,                 1.1374,                0.91667,                0.95652,                0.96637,                0.65308,                0.98817,                 8.8127,                 1.0236,             0.00045089,             0.00045089,             0.00045089
                      3,                 1.1204,                0.85943,                 1.1795,                0.92959,                0.78261,                0.84742,                0.64375,                0.96456,                 1.1303,                 1.1625,             0.00067228,             0.00067228,             0.00067228
                      4,                  1.126,                0.74145,                 1.1585,                0.81336,                0.95652,                0.93634,                0.63614,                 1.0972,                 3.1081,                 1.2947,             0.00088416,             0.00088416,             0.00088416
                      5,                   1.14,                0.70429,                 1.1787,                0.03481,                0.21739,                0.01065,                0.00717,                 1.9247,                 10.988,                 2.2511,              0.0010865,              0.0010865,              0.0010865
                      6,                 1.1196,                0.68171,                 1.1838,                0.00243,                0.04348,                 0.0019,                0.00101,                 2.1764,                  93.04,                 2.4088,              0.0012794,              0.0012794,              0.0012794
                      7,                 1.1336,                0.64213,                 1.1641,                0.31802,                0.43478,                0.22772,                0.14272,                 1.6632,                 4.4179,                  1.743,              0.0014628,              0.0014628,              0.0014628
                      8,                 1.0908,                0.61186,                 1.1909,                 0.0026,                0.34783,                0.00186,                0.00071,                 2.7055,                    inf,                 2.5325,              0.0016367,              0.0016367,              0.0016367
                      9,                 1.1084,                0.70805,                 1.1455,                0.93833,                      1,                0.99167,                0.72466,                0.94451,                0.74331,                  1.178,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.0366,                0.71961,                 1.0623,                0.98389,                0.78261,                0.88117,                0.65841,                0.93621,                0.91199,                  1.145,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0542,                0.70673,                 1.1502,                0.91288,                0.69565,                0.81614,                0.61655,                0.94995,                0.92587,                 1.1117,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.0501,                0.64639,                 1.1078,                0.99135,                0.95652,                0.95882,                0.68588,                 1.0892,                0.79067,                 1.1767,               0.001604,               0.001604,               0.001604
                     13,                 1.0981,                0.58543,                  1.161,                0.99223,                      1,                  0.995,                0.72878,                 1.0128,                0.55794,                 1.0888,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.0496,                0.58223,                 1.1009,                0.00174,                0.52174,                 0.0026,                0.00059,                  3.612,                    inf,                 325.32,              0.0015248,              0.0015248,              0.0015248
                     15,                 0.9894,                0.54584,                  1.103,                0.00317,                0.82609,                0.00395,                0.00139,                 3.6119,                    inf,                 183.23,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.0052,                0.53569,                 1.1484,                0.91156,                0.17391,                0.17773,                0.13539,                 2.1058,                 2.6755,                 4.0125,              0.0014456,              0.0014456,              0.0014456
                     17,                0.95914,                0.50292,                 1.0658,                0.98831,                      1,                  0.995,                0.75689,                0.89063,                0.57808,                 1.0648,               0.001406,               0.001406,               0.001406
                     18,                0.98097,                0.52067,                 1.0913,                0.80954,                      1,                0.84093,                0.56889,                 1.0418,                0.67079,                 1.1506,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.0455,                0.50977,                 1.1659,                0.99579,                0.95652,                0.97236,                0.75147,                   0.87,                0.49509,                 1.0668,              0.0013268,              0.0013268,              0.0013268
                     20,                0.97438,                0.50501,                 1.0831,                0.97975,                      1,                  0.995,                0.70314,                 1.0212,                0.48589,                 1.1956,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.0457,                0.52174,                 1.1139,                0.98811,                      1,                  0.995,                0.70946,                0.92641,                0.47619,                 1.0887,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.0263,                0.52209,                 1.1324,                0.99816,                      1,                  0.995,                0.74301,                 0.9621,                0.45468,                 1.1451,               0.001208,               0.001208,               0.001208
                     23,                 1.0276,                0.50674,                 1.1363,                      1,                0.99723,                  0.995,                0.76212,                0.94248,                0.52408,                 1.1175,              0.0011684,              0.0011684,              0.0011684
                     24,                0.94486,                0.47935,                 1.0776,                0.99753,                      1,                  0.995,                0.77639,                0.93489,                0.44111,                 1.0851,              0.0011288,              0.0011288,              0.0011288
                     25,                0.98745,                0.47149,                 1.0993,                0.99302,                      1,                  0.995,                 0.7542,                0.93799,                0.48296,                 1.0723,              0.0010892,              0.0010892,              0.0010892
                     26,                0.94074,                0.51043,                 1.0948,                0.99613,                      1,                  0.995,                 0.7492,                 0.9421,                 0.4626,                  1.063,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.0193,                0.49186,                 1.1005,                      1,                0.99906,                  0.995,                0.74221,                0.87361,                0.41995,                 1.0457,                0.00101,                0.00101,                0.00101
                     28,                0.92811,                0.47649,                 1.0814,                0.99775,                      1,                  0.995,                0.81207,                0.84001,                0.40437,                 1.0257,              0.0009704,              0.0009704,              0.0009704
                     29,                0.95886,                0.46582,                 1.0911,                0.99672,                      1,                  0.995,                0.78142,                0.83229,                0.39117,                 1.0152,              0.0009308,              0.0009308,              0.0009308
                     30,                0.90915,                0.45076,                 1.0566,                0.99691,                      1,                  0.995,                 0.7775,                0.85055,                0.37307,                 1.0193,              0.0008912,              0.0008912,              0.0008912
                     31,                0.87556,                0.42936,                 1.0626,                0.99443,                      1,                  0.995,                0.77069,                 0.8663,                0.41469,                 1.0366,              0.0008516,              0.0008516,              0.0008516
                     32,                0.94328,                0.43334,                 1.0463,                0.99736,                      1,                  0.995,                0.73628,                 1.0093,                0.42281,                  1.086,               0.000812,               0.000812,               0.000812
                     33,                0.98528,                0.43188,                 1.0785,                0.99724,                      1,                  0.995,                0.76265,                0.92935,                0.40816,                  1.068,              0.0007724,              0.0007724,              0.0007724
                     34,                0.90777,                0.43106,                 1.0309,                0.99734,                      1,                  0.995,                0.76798,                0.94253,                0.38562,                 1.0869,              0.0007328,              0.0007328,              0.0007328
