NO,제목,공감/비공감,조회수,등록일,카테고리,세분화
7803,북한학과 박사 논문 연구계획서 불합격 제도 시정 요구,0 / 0,72,2024.03.06,대학,
7802,IT 사설강의 '인프런'과 대학 제휴 협약을 맺어주세요,28 / 0,172,2024.02.13,학생지원,학술지원
7801,학점 포기제 일부 허용 건의,0 / 0,9,2024.01.29,행정지원,학교관련 제도
7800,편입학 제도 개선 관련 문의,0 / 0,2,2024.01.23,행정지원,학교관련 제도
7799,기숙사 통금 시간 연장 건의,286 / 2,1013,2024.01.19,생활지원,기숙사
7798,계리사 합격장려금 지원 건의,27 / 0,156,2024.01.11,학생지원,고시지원
7797,"본교에서도 통합과정의 박사과정생 또는 박사수료자가 박사학위논문을 청구하기 직전까지 ""석사졸에 준 한 자격을 갖추었음""을 증명할 수 있는 서류를 발급해주시길 건의드립니다.",21 / 0,157,2024.01.09,행정지원,학교관련 제도
7796,"18학년도 입학자 입니다 스페인어 2를 들어야 졸업할 수 있는데, 이제는 계절로도 열리지 않는다고 합니다. 졸업할 길을 열어주세요…",0 / 0,89,2024.01.03,대학,입학 및 학사운영
7795,마이유레카 모바일 웹 버전 개선 부탁드립니다,4 / 0,100,2023.12.05,기타,
7794,법정의무교육 수강에 대한 제도 구축을 건의합니다,2 / 0,64,2023.12.01,행정지원,학교관련 제도
7793,교내 식당 품질을 개선해주세요.,1 / 0,89,2023.11.25,생활지원,식당
7792,교내 셔틀 버스 불편함에 대해 건의합니다,0 / 0,2,2023.11.21,기타,
7791,정책과학대학원 內 '문화예술정책학' 학과의 명칭에 대해…,2 / 1,97,2023.11.15,대학,
7790,법학관 물리적 방역 및 이씨씨 열람실의 주기적 환기를 부탁드립니다.,0 / 0,78,2023.11.03,생활지원,공간사용
7789,중앙도서관 대학원 휴학생 최대 대출 권수 관련,1 / 0,55,2023.10.19,학생지원,학술지원
7788,중앙도서관 대학원 휴학생 대출권수 상향을 건의드립니다.,1 / 0,34,2023.10.19,학생지원,학술지원
7787,[중앙도서관] 대학원 휴학생 최대 대출 권수 상향 의건,4 / 0,152,2023.10.19,학생지원,학술지원
7786,원격강의 재사용 금지를 촉구합니다,7 / 1,149,2023.09.29,기타,
7785,주제별음악학I (학수번호 36628)' 인문예술미디어 전공강의 인정 건의,0 / 0,2,2023.09.29,대학,
7784,중앙도서관 미디어스테이지 주말 및 공휴일 운영시간 연장 건의,1 / 0,56,2023.09.26,생활지원,공간사용
7783,공학관에 통신사 중계기 설치를 요청합니다.,0 / 0,97,2023.09.15,학생지원,학술지원
7782,공학관 식당 개선,0 / 0,80,2023.09.14,생활지원,식당
7781,본교의 위상에 걸맞는 ESG 경영 추진을 제안합니다,0 / 0,326,2023.09.08,기타,
7780,수강할 수 있는 강의 분반과 강의실을 늘려주거나 계절에도 전공을 개설해주세요,0 / 0,1,2023.09.05,행정지원,학사운영 전반에 관한 업무
7779,공학관에 휴게시설을 만들어주세요,188 / 0,687,2023.09.03,생활지원,공간사용
7778,2년 이상 폐강되는 수업의 경우 재수강을 다른 수업을 통해 할 수 있게 해주세요,0 / 0,147,2023.08.30,기타,
7777,새롭게 도입되는 한우리집행 노선 수정 요청합니다.,163 / 0,552,2023.08.29,기타,
7776,셔틀버스 공대직행 노선의 폐지를 반대합니다.,157 / 0,526,2023.08.29,기타,
7775,열람실 인근 이화상점 노래를 틀지 못하게 해주세요.,0 / 0,3,2023.08.11,기타,
7774,우선수강신청 방식 변경 건의합니다,0 / 0,0,2023.08.10,행정지원,학교관련 제도
7773,인공지능학과 수업 분반을 늘려주세요,0 / 0,2,2023.08.09,대학,
7772,정규학기 등록학점 구간 별 등록금 제도를 제안합니다,0 / 0,70,2023.08.09,행정지원,학교관련 제도
7771,인문예술미디어 타전공선택 교과목 종류를 개선해 학습권을 보장해주세요,0 / 0,5,2023.07.20,대학,
7770,포스코관 청소 노동자분들의 근로 환경 개선 관련해 건의드립니다. ,4 / 0,60,2023.07.20,기타,
7769,교내 환경 개선,4 / 0,83,2023.07.19,생활지원,편의시설
7768,포스코관 청소 노동자분들의 근로 환경 개선 관련해 건의드립니다,0 / 0,0,2023.07.19,기타,
7767,포스코관 청소 노동자분들의 근로 환경 개선 관련해 건의드립니다.,3 / 0,43,2023.07.18,기타,
7766,포스코관 청소 노동자분들의 근로 환경 개선 관련해 건의드립니다. ,14 / 0,85,2023.07.18,기타,
7765,[제안] 교내 지속가능성 부서 및 지속가능발전 관련 기초 교양 교과목 개설과 관련하여 제안드리고 싶습니다.,0 / 0,49,2023.07.17,행정지원,학사운영 전반에 관한 업무
7764,화공신소재공학과 교육과정 개편,0 / 0,1,2023.07.17,대학,
7763,경제학과 전공 강의 추가 개설 요청드립니다.,0 / 0,5,2023.07.15,대학,
7762,경제학과 교수 충원 및 추가 개설 요구드립니다.,0 / 0,1,2023.07.15,대학,
7761,한우리집 101동 에어컨 청소 및 기숙사 방치에 대한 건입니다.,0 / 0,68,2023.07.12,생활지원,기숙사
7760,장애학생지원센터의 인력충원을 건의합니다.,0 / 0,2,2023.07.01,학생지원,장애학생지원
7759,장애학생지원센터의 인력충원을 건의합니다.,0 / 0,0,2023.06.30,학생지원,장애학생지원
7758,장애학생지원센터의 인력충원을 건의합니다.,0 / 0,1,2023.06.30,학생지원,장애학생지원
7757,장애학생지원센터의 인력충원을 건의합니다.,0 / 0,0,2023.06.30,학생지원,장애학생지원
7756,장애학생지원센터 인력충원을 건의합니다.,0 / 0,12,2023.06.29,학생지원,장애학생지원
